eID,eName,jurisdictionID
82023444,NAB Investments Limited,CYM
55020553,TGF ESTATES LIMITED,MLT
55058014,A & M CONSULTANCY & SERVICES LIMITED,MLT
30013879,SULLIVAN LTD,BHS
200118473,FALCON FINANCE CORPORATION,KNA
85002716,LACLE DENTAL LABORATORY,AW
55021286,KINGSBURY LTD.,MLT
85033557,PIEDRA PLAT BABY STORE,AW
55048612,SULU INVESTMENTS LTD,MLT
85008219,DE VIER HEEMSKINDEREN A.V.V.,AW
55004543,NIEF SHIPPING CO LTD,MLT
100306945,RICHMAS FINANCE CORPORATION,BRB
82011059,Shamrock Navigation Corp,PAN
200138315,Pulaski Pine Forest Corporation,KNA
85010662,CON CU BO KEE,AW
82021475,KAYASS ENTERPRISES S.A.,VGB
82008477,Eildon Investments Limited,BMU
85014055,ARM MINING CORPORATION A.V.V.,AW
55031800,NGOL ZAIRE LTD.,MLT
101700934,CHEVANCO LTD.,BRB
85048417,DECOCI HUNTER DOUGLAS N.V.,AW
85019489,DAYMAR ADMINISTRATIVE & TAX CONSULTANCY NV,AW
100301043,FREDERICK'S ENTERPRISES LIMITED,BRB
200509925,"MEADOW CREEK HOLDINGS, LLC",KNA
85029661,MAXIMUS CAPITAL A.V.V.,AW
101731473,ELDERSHIRE LIMITED,BRB
85006136,NAZUCENA,AW
200116391,UNIGLOBE CAPITAL TRUST CORPORATION,KNA
200516392,MARINE MATTERS LLC,KNA
200509107,PLDCL 20 LLC,KNA
200113376,"CALYPSO, INC.",KNA
55070506,BERAGUA RETAIL SERVICES LIMITED,MLT
85020344,SUMMERS INVESTMENTS,AW
200106215,ATLANTIC REINSURANCE COMPANY,KNA
100915225,GLOBAL TUITION & EDUCATION INSURANCE CORPORATION,BRB
85035388,MIND'S EYE N.V.,AW
55003493,PUBLIC BROADCASTING SERVICES LIMITED,MLT
82025112,Jeremy Johnson's Village Carpentry Ltd.,BMU
200132580,"Major Program Practice, Inc.",KNA
55002186,LORNA TWINS CO LTD,MLT
85014235,VIRGO TRADING COMPANY,AW
85029683,RINCHI'S SNACK,AW
200106312,TRANS-ATLANTIC BUSINESS SUPPORT LTD.,KNA
100339194,OCKHAM PARK LTD.,BRB
100339685,ELEMENTS ESSENTIALS INC.,BRB
55026104,CLANCY INVESTMENTS LIMITED,MLT
85019559,ANGELO ARUBA N.V. - JEANS ALLEY,AW
55085058,SATSYSTEM AND SERVICES,MLT
55026507,FORTUNIMED COMPANY LIMITED,MLT
200129205,Hockery Investment Limited,KNA
85014182,GREYSTON CORPORATION A.V.V. (I.L.),AW
85042947,AVANT GARDE TECHNOLOGY SOLUTIONS CARIBBEAN VBA,AW
30010014,RAM DEVELOPMENT CORPORATION LIMITED,BHS
55037657,ZEL COMPANY LIMITED,MLT
82015517,Menorah Surrey Street Company 2 Limited,JEY
55059487,GLOBAL - SPACE INVESTMENT & DEVELOPMENT LTD,MLT
30020299,DORRANCE INVESTMENTS LIMITED,BHS
55036923,Axeria Re Limited,MLT
30003193,"CALLAHAN SHOP LIMITED, THE",BHS
100340351,S & B WHOLESALE DISTRIBUTION INC.,BRB
200501743,SUNSHINE LLC,KNA
101732322,TIGER SM INCORPORATED,BRB
55012783,TOURISM AND REAL ESTATE LIMITED,MLT
82073698,Override Invest Limited,IMN
85034241,RASIQUEL ARTS & CRAFTS,AW
101706539,PRESNAR FINANCIAL CORPORATION,BRB
100323617,EMPERORS COURT MANAGEMENT INC.,BRB
55075107,ENEVEST FINANCE LTD,MLT
200129651,De Leveaga Holdings Ltd.,KNA
85048583,SCATLIFFE RUMBA BUILDING & MANAGEMENT N.V.,AW
30013776,KURMIL LIMITED,BHS
100308728,J & H LOCAL COLOUR INC.,BRB
200105294,JPT REINSURANCE CO. LTD,KNA
100340146,ISABELLA AND ETHAN FOODS LTD.,BRB
200126384,Crowless International S.A.,KNA
55074824,LAST MINUTE DR. LIMITED,MLT
200142800,SKY RE Facultative and Treaty Ltd.,KNA
30019804,PONZE LIMITED,BHS
82017418,CARLOS FOUNDATION,CYM
30010575,ATLANTIC PETROLEUM LIMITED,BHS
200510818,"SUNOB PARTNERS, LLC",KNA
100328711,RIANNA REEF SERVICES INC.,BRB
101740480,CENTINELLA OPERATIONS LTD.,BRB
200113712,CARIBBEAN TEL@DVANCE LIMITED,KNA
101715943,J S P INTERNATIONAL INC.,BRB
200107948,WHITEHORN'S CORP,KNA
82043419,The Melbourne Settlement,IMN
55081141,ViaSat Malta,MLT
82009037,Bermuda Protection Services Ltd.,BMU
55053924,E & P COLOUR PRINTS LABORATORY LTD ( D 2507 ),MLT
85007069,S. CHOW SUPERMARKET N.V.,AW
